,id,event2,datetime,bodyweight,impulse,duration,left_impulse,left_duration,right_impulse,right_duration,impulse_ratio,impulse_time_diff
0,3B00185E23,1-2024-12-11,2024-12-11 07:59:37.234,0.1032697062361606,0.013008502074860493,0.052999999999999936,0.006795774608437584,0.028000000000000025,0.006614774528409372,0.02499999999999991,1.0273630006965235,0.0030000000000001137
1,3B0018C6F9,2-2024-12-11,2024-12-11 08:00:49.235,0.098122407562645,0.012753480333355046,0.07500000000000001,0.006116336770647813,0.05299999999999999,0.007105747023309956,0.02200000000000002,0.8607591503868003,0.030999999999999972
2,3B00199DE5,3-2024-12-11,2024-12-11 08:03:18.234,0.0962241320632675,0.014658514004137271,0.04999999999999982,0.005524634267795827,0.020000000000000018,0.009580942869998627,0.029999999999999805,0.5766274095105441,-0.009999999999999787
3,3B00185CB8,8-2024-12-11,2024-12-11 08:07:13.231,0.0953970648449805,2.436206060440385e-05,0.006000000000000005,1.584122342151377e-05,0.0030000000000000027,1.369298730534857e-05,0.0030000000000000027,1.156885861956951,0.0
4,3B00185CB8,10-2024-12-11,2024-12-11 08:09:28.232,0.0923368646696707,0.004308536231778676,0.030000000000000027,0.0024311991905083983,0.016000000000000014,0.0021052899162154162,0.014000000000000012,1.154804937687088,0.0020000000000000018
5,3B00190DF0,11-2024-12-11,2024-12-11 08:09:47.231,0.1858377627654824,0.02280896085792653,0.06800000000000006,0.015864438595477398,0.052999999999999936,0.007732929034380088,0.015000000000000124,2.0515432800359554,0.03799999999999981
6,3B00190DF0,12-2024-12-11,2024-12-11 08:11:09.231,0.1858377627654824,0.022590365265418168,0.05600000000000005,0.015474671543584622,0.04200000000000004,0.007947529461844058,0.014000000000000012,1.9471046465292434,0.028000000000000025
7,01103F9A64,14-2024-12-11,2024-12-11 08:12:23.232,0.1682502769607177,0.024811899580771655,0.06000000000000005,0.01685127430752054,0.04300000000000015,0.008726458621200844,0.016999999999999904,1.9310553156787493,0.026000000000000245
8,3B00185CB8,15-2024-12-11,2024-12-11 08:12:43.232,0.0953970648449805,0.003503837800530388,0.03400000000000003,0.0020915143721101158,0.02100000000000002,0.0015885122982678657,0.013000000000000012,1.3166497825611612,0.008000000000000007
9,01103F9A64,16-2024-12-11,2024-12-11 08:13:51.230,0.1732299292332734,0.02649049708959985,0.07099999999999973,0.017693216820585975,0.054999999999999716,0.009710773392777277,0.016000000000000014,1.8220193289389202,0.0389999999999997
