,RFID,event2,datetime,bodyweight,impulse
0,3B004873F2,31,2024-12-23 08:47:27.182,0.0909228299072967,0.013635859811514286
1,3B004873F2,32,2024-12-23 08:48:57.187,0.0931862285874362,0.01347670762212032
2,3B004873F2,33,2024-12-23 08:50:40.186,0.1059223398213607,0.013892825485595648
3,3B004873F2,38,2024-12-23 09:02:14.131,0.1059223398213607,0.01294569948712114
4,3B004873F2,44,2024-12-23 09:17:32.842,0.1059223398213607,0.013079398405199158
5,3B004873F2,50,2024-12-23 09:23:43.846,0.0944341642691134,0.012667139833385967
6,3B004873F2,51,2024-12-23 09:25:18.846,0.1059223398213607,0.01301190585086053
7,3B004873F2,52,2024-12-23 09:26:39.847,0.1059223398213607,0.012318398347090746
8,3B004873F2,55,2024-12-23 09:34:08.851,0.1059223398213607,0.012568964098665565
9,3B004873F2,67,2024-12-23 09:45:51.860,0.1059223398213607,0.012863336163151598
10,3B004873F2,71,2024-12-23 09:47:58.862,0.1059223398213607,0.013698587689976319
11,3B004873F2,100,2024-12-23 10:24:42.836,0.1059223398213607,0.010988268837560764
12,3B004873F2,116,2024-12-23 10:37:43.842,0.1059223398213607,0.004114662801698525
13,3B004873F2,122,2024-12-23 10:40:03.845,0.1059223398213607,0.012510231261609252
14,3B004873F2,127,2024-12-23 10:41:50.844,0.1020378201807362,0.013646777666058764
15,3B004873F2,131,2024-12-23 10:43:17.846,0.1059223398213607,0.013863247717395059
16,3B004873F2,184,2024-12-23 11:18:28.822,0.1059223398213607,0.013971018157968857
17,3B004873F2,185,2024-12-23 11:19:17.822,0.1059223398213607,0.013717246716329486
18,3B004873F2,211,2024-12-23 11:40:47.834,0.0981655120134232,0.014281836918238623
19,3B004873F2,222,2024-12-23 11:42:49.834,0.1059223398213607,0.013269085076312933
20,3B004873F2,230,2024-12-23 11:45:03.835,0.1059223398213607,0.013152386480047032
21,3B004873F2,266,2024-12-23 12:05:21.811,0.1059223398213607,0.013440925131397703
22,3B004873F2,268,2024-12-23 12:06:51.811,0.0997941598095968,0.01352474850819153
23,3B004873F2,270,2024-12-23 12:07:58.810,0.0986589000506868,0.0032628913632140517
24,3B004873F2,273,2024-12-23 12:08:53.812,0.09807717127492,0.010166603824829262
25,3B004873F2,292,2024-12-23 12:22:00.818,0.1059223398213607,2.7523722069950074e-05
26,3B004873F2,331,2024-12-23 12:37:59.824,0.1012511333242894,0.011998425692101999
27,3B004873F2,332,2024-12-23 12:38:08.823,0.1059223398213607,0.0031535741241588253
28,3B004873F2,340,2024-12-23 12:46:48.827,0.1016749567961126,0.00033209692051003136
29,3B004873F2,342,2024-12-23 12:47:24.828,0.1059223398213607,0.0033719026209772206
30,3B004873F2,384,2024-12-23 13:40:01.036,0.1059223398213607,0.009898237540661665
31,3B004873F2,390,2024-12-23 13:42:30.037,0.1059223398213607,0.0132366289063914
32,3B004873F2,394,2024-12-23 13:53:21.035,0.1059223398213607,0.012853666544205914
33,3B004873F2,396,2024-12-23 13:54:29.030,0.1008260149334566,0.014647497873597712
34,3B004873F2,400,2024-12-23 13:55:22.027,0.1059223398213607,0.012623967940668172
35,3B004873F2,417,2024-12-23 14:28:59.565,0.1059223398213607,0.01444557287383421
36,3B004873F2,423,2024-12-23 14:30:35.566,0.1059223398213607,0.014305932102970586
37,3B004873F2,426,2024-12-23 14:31:30.568,0.1059223398213607,0.014570172594669075
38,3B004873F2,428,2024-12-23 14:32:52.568,0.1059223398213607,0.012538180409895043
39,3B004873F2,459,2024-12-23 15:16:25.564,0.1059223398213607,0.013712660376204439
40,3B004873F2,461,2024-12-23 15:17:31.562,0.1003261079613544,0.028972314999030115
41,3B004873F2,462,2024-12-23 15:17:35.562,0.0993119085153844,0.0032720779067332765
42,3B004873F2,463,2024-12-23 15:22:01.564,0.1059223398213607,0.0042773088519
43,3B004873F2,467,2024-12-23 15:26:31.565,0.1059223398213607,0.004246881497621101
44,3B004873F2,469,2024-12-23 15:27:45.567,0.0995819514843066,0.014457240588519077
45,3B004873F2,497,2024-12-23 15:44:32.572,0.1031627272980638,0.0149251257520151
46,3B004873F2,507,2024-12-23 15:47:46.574,0.1036663224090489,0.004229945006518806
