,id,status,visit_datetime,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,bw_filled
0,3B00185E23,Arrive,2024-12-11 07:59:35.920756,2024-12-11 07:59:35.233,1-2024-12-11,0.1032697062361606,0.5053167682226258,0.3883228503507367,0.062232077987981305,2.376,0.37803968185349757,-0.3192418280722055,2.373,0.143,0.09519910747166821,0.669,bluti,M,6,0
1,3B00185E23,Depart,2024-12-11 07:59:38.329956,2024-12-11 07:59:35.233,1-2024-12-11,0.1032697062361606,0.5053167682226258,0.3883228503507367,0.062232077987981305,2.376,0.37803968185349757,-0.3192418280722055,2.373,0.143,0.09519910747166821,0.669,bluti,M,6,0
2,3B0018C6F9,Arrive,2024-12-11 08:00:47.726152,2024-12-11 08:00:49.234,2-2024-12-11,0.098122407562645,0.5667258681653689,0.3704145550899349,0.023003148191882088,0.291,0.3703431363358707,-0.4288602371381684,0.29,0.105,0.031068323832871808,0.302,bluti,M,6,1
3,3B0018C6F9,Depart,2024-12-11 08:00:50.939834,2024-12-11 08:00:49.234,2-2024-12-11,0.09812240756264498,0.5667258681653689,0.3704145550899349,0.023003148191882088,0.291,0.3703431363358707,-0.4288602371381684,0.29,0.105,0.031068323832871808,0.302,bluti,M,6,1
4,3B00199DE5,Arrive,2024-12-11 08:03:14.992959,2024-12-11 08:03:16.233,3-2024-12-11,0.09622413206326756,0.54328726572045,0.37891404265685097,0.020456661657938163,2.329,0.37826764467411744,-0.3880683398365798,2.328,1.822,0.03960933727798308,2.327,bluti,M,5,0
5,3B00199DE5,Depart,2024-12-11 08:03:19.615209,2024-12-11 08:03:16.233,3-2024-12-11,0.09622413206326756,0.54328726572045,0.37891404265685097,0.020456661657938163,2.329,0.37826764467411744,-0.3880683398365798,2.328,1.822,0.03960933727798308,2.327,bluti,M,5,0
6,3B00185CB8,Arrive,2024-12-11 08:05:55.050197,2024-12-11 08:05:56.232,4-2024-12-11,0.09205894494904379,0.5184157481982326,0.3791995066007286,0.031300654485858545,0.551,0.372355891583001,-0.32301851959028316,0.549,0.255,0.07410187065550687,1.837,bluti,F,6,0
7,3B00185CB8,Depart,2024-12-11 08:05:58.265433,2024-12-11 08:05:56.232,4-2024-12-11,0.09205894494904379,0.5184157481982326,0.3791995066007286,0.031300654485858545,0.551,0.372355891583001,-0.32301851959028316,0.549,0.255,0.07410187065550687,1.837,bluti,F,6,0
8,3B0018C6F9,Arrive,2024-12-11 08:05:59.130178,2024-12-11 08:05:59.231,5-2024-12-11,0.09332178798283697,0.5834841962450764,0.3924242701196398,0.03173178671358437,0.901,0.3917171695304808,-0.42230748659112094,0.9,0.478,0.03749118609401239,0.398,bluti,M,6,0
9,3B0018C6F9,Depart,2024-12-11 08:06:01.541140,2024-12-11 08:05:59.231,5-2024-12-11,0.09332178798283697,0.5834841962450764,0.3924242701196398,0.03173178671358437,0.901,0.3917171695304808,-0.42230748659112094,0.9,0.478,0.03749118609401239,0.398,bluti,M,6,0
10,01103FA4B2,Arrive,2024-12-11 08:06:14.121337,2024-12-11 08:06:15.232,6-2024-12-11,0.09097815495377658,0.470329408831374,0.3286751852058384,0.02272714260462667,1.85,0.32227365467625607,-0.3292985944576142,1.847,1.138,0.1086905428913849,1.845,bluti,M,6,0
11,01103FA4B2,Depart,2024-12-11 08:06:18.540958,2024-12-11 08:06:15.232,6-2024-12-11,0.09097815495377658,0.470329408831374,0.3286751852058384,0.02272714260462667,1.85,0.32227365467625607,-0.3292985944576142,1.847,1.138,0.1086905428913849,1.845,bluti,M,6,0
12,3B0019B8CC,Arrive,2024-12-11 08:06:24.947460,2024-12-11 08:06:24.232,7-2024-12-11,0.15384169534911218,0.07958073656433982,0.05281654528171893,0.04157286848265775,0.708,-0.07048814254017065,0.026557247361481115,0.689,1.497,0.036072484771874955,0.145,greti,F,5,1
13,3B0019B8CC,Depart,2024-12-11 08:06:27.559641,2024-12-11 08:06:24.232,7-2024-12-11,0.1538416953491122,0.07958073656433982,0.05281654528171893,0.04157286848265775,0.708,-0.07048814254017065,0.026557247361481115,0.689,1.497,0.036072484771874955,0.145,greti,F,5,1
14,3B00185CB8,Arrive,2024-12-11 08:07:11.435147,2024-12-11 08:07:13.230,8-2024-12-11,0.09539706484498058,0.10056921496743906,0.06195339750545402,0.0027078275783488344,0.33,0.04795150255720445,-0.08818653585835971,0.104,0.21,0.02048222782181522,0.224,bluti,F,6,1
15,3B00185CB8,Depart,2024-12-11 08:07:14.246435,2024-12-11 08:07:13.230,8-2024-12-11,0.09539706484498056,0.10056921496743906,0.06195339750545402,0.0027078275783488344,0.33,0.04795150255720445,-0.08818653585835971,0.104,0.21,0.02048222782181522,0.224,bluti,F,6,1
16,3B00190DF0,Arrive,2024-12-11 08:07:30.684511,2024-12-11 08:07:32.231,9-2024-12-11,0.17237010321115143,1.0442318786363252,0.7990826622477224,0.03240018513290052,1.788,0.778559271781398,-0.6954038653339284,1.785,1.812,0.0653854503540279,1.734,greti,M,6,0
17,3B00190DF0,Depart,2024-12-11 08:07:35.109889,2024-12-11 08:07:32.231,9-2024-12-11,0.17237010321115143,1.0442318786363252,0.7990826622477224,0.03240018513290052,1.788,0.778559271781398,-0.6954038653339284,1.785,1.812,0.0653854503540279,1.734,greti,M,6,0
