,id,status,visit_datetime,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,bw_filled
5250,3B0018C6F9,Depart,2025-02-07 08:02:57.114842,2025-02-07 08:02:55.303,13-2025-02-07,0.09868420365615846,0.5841867434277879,0.4816181727152787,0.020712159855715978,0.463,0.4816181727152787,-0.20960714268751862,0.463,0.061,0.047194058015519784,0.08,bluti,M,6,1
5251,3B00192E1E,Arrive,2025-02-07 08:03:02.831409,2025-02-07 08:03:04.303,14-2025-02-07,0.10139949933255883,0.37618458535065447,0.22133940570521007,0.03922346602361771,1.897,0.15176488700164795,-0.33310854969175024,1.14,0.635,0.04225567601952998,0.799,bluti,M,6,1
5252,3B0018A99B,Arrive,2025-02-07 08:03:24.620242,2025-02-07 08:03:26.303,15-2025-02-07,0.09534645770834113,0.2768051180990198,0.239161160117861,0.006444337250322224,0.971,0.22857247816210843,-0.15062882567697441,0.967,0.516,0.04866482996109375,0.975,bluti,M,5,1
5253,3B0018A99B,Depart,2025-02-07 08:03:27.232938,2025-02-07 08:03:26.303,15-2025-02-07,0.09534645770834112,0.2768051180990198,0.239161160117861,0.006444337250322224,0.971,0.22857247816210843,-0.15062882567697441,0.967,0.516,0.04866482996109375,0.975,bluti,M,5,1
5254,01103F9A64,Arrive,2025-02-07 08:04:25.702956,2025-02-07 08:04:26.303,16-2025-02-07,0.19023237924436842,0.9696616467797999,0.5821834441839883,0.052086484033856476,1.838,0.5795854504634218,-0.7698689523800217,1.833,1.532,0.05152400894376691,1.532,greti,M ,5,1
5255,01103F9A64,Depart,2025-02-07 08:04:29.533647,2025-02-07 08:04:26.303,16-2025-02-07,0.19023237924436842,0.9696616467797999,0.5821834441839883,0.052086484033856476,1.838,0.5795854504634218,-0.7698689523800217,1.833,1.532,0.05152400894376691,1.532,greti,M ,5,1
5256,3B004CA42C,Arrive,2025-02-07 08:05:43.464481,2025-02-07 08:05:44.304,17-2025-02-07,0.08582809269232827,0.3652694336480589,0.2642202271647883,0.15925234810848668,1.938,0.2550332014714424,-0.2519090400676922,0.001,0.001,0.08287859621066407,1.932,bluti,F,6,0
5257,3B00484043,Arrive,2025-02-07 08:11:09.574123,2025-02-07 08:11:11.306,18-2025-02-07,0.09331075425978679,0.45887989696717835,0.3348696447290024,0.02160619683437261,0.865,0.3326109591579755,-0.3148979634222838,0.863,0.381,0.03418074787902509,0.858,bluti,F,5,1
5258,3B00484043,Depart,2025-02-07 08:11:12.184794,2025-02-07 08:11:11.306,18-2025-02-07,0.09331075425978677,0.45887989696717835,0.3348696447290024,0.02160619683437261,0.865,0.3326109591579755,-0.3148979634222838,0.863,0.381,0.03418074787902509,0.858,bluti,F,5,1
5259,3B0018A99B,Arrive,2025-02-07 08:11:27.215957,2025-02-07 08:11:28.305,19-2025-02-07,0.08888436556764015,0.11605790533967304,0.11598321433117392,0.011410781243768556,0.954,0.11598321433117392,0.003231605144207593,0.954,0.054,0.020718568464296445,1.331,bluti,M,5,0
