,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
16,01103F97C4,not first visit,2024-12-12 08:47:27.952179,control,nah,0.0,2024-12-12,2024-12-12 08:47:27.795,33-2024-12-12,0.14540973092905277,1.0823748481652617,0.8668534032327725,0.08105695591089099,2.237,0.8645723461728344,-0.5184479115929179,2.236,2.213,0.08180720955379989,2.212,greti,M ,5,1,0.0,0
17,01103F97C4,not first visit,2024-12-12 08:48:50.127243,control,nah,0.0,2024-12-12,2024-12-12 08:48:51.707,34-2024-12-12,0.15382761445475127,0.8017880173383758,0.6234713331386313,0.04348706189159609,2.508,0.6185042089386422,-0.440104702866834,2.506,0.576,0.015604215755643799,0.295,greti,M ,5,1,0.0,0
18,3B0018C6F9,not first visit,2024-12-12 08:49:33.453122,control,nah,0.0,2024-12-12,2024-12-12 08:49:34.709,35-2024-12-12,0.0959418111340078,0.5686654815416574,0.43054993473078634,0.01979085999588711,0.83,0.42382683876748056,-0.3569187587955674,0.828,0.412,0.01704990514987194,0.554,bluti,M,6,1,0.0,0
19,3B0018A99B,not first visit,2024-12-12 08:49:44.987996,control,nah,0.0,2024-12-12,2024-12-12 08:49:46.709,36-2024-12-12,0.09090476529746992,0.5175096387253422,0.3720508884151678,0.022286138399480925,2.192,0.3706109613560413,-0.3582721124068056,2.19,1.351,0.01699631670657163,0.407,bluti,M,5,1,0.0,0
20,3B004CD4DE,first visit,2024-12-12 08:49:59.423019,control,nah,0.0,2024-12-12,2024-12-12 08:50:00.707,37-2024-12-12,0.1003986183690209,0.4937921923796485,0.3219819556217378,0.01080639787160272,0.214,0.31895023966969793,-0.3767728906234401,0.212,0.252,0.06414375997460628,0.227,bluti,M,5,1,,1
21,01103F97C4,not first visit,2024-12-12 08:52:18.153031,control,nah,0.0,2024-12-12,2024-12-12 08:52:19.710,38-2024-12-12,0.18306894265391513,0.8140869726921401,0.6867885349896333,0.02418819586859349,1.679,0.6829621052637194,-0.3920627040537024,1.677,1.028,0.024390363438341528,1.148,greti,M ,5,1,0.0,1
22,3B0018A99B,not first visit,2024-12-12 08:52:23.828595,control,nah,0.0,2024-12-12,2024-12-12 08:52:24.710,39-2024-12-12,0.09575324175177652,0.28345622907346407,0.20239630332920125,0.019568221751095717,1.756,0.1954984785916242,-0.20286778347071913,1.753,2.889,0.04149186504547829,2.01,bluti,M,5,1,0.0,1
23,01103F97C4,not first visit,2024-12-12 08:54:55.436118,control,nah,0.0,2024-12-12,2024-12-12 08:54:55.712,40-2024-12-12,0.15514879910805895,0.7846427777062875,0.6366273343497314,0.02710748721123381,2.05,0.6351220777140432,-0.4096728314468842,2.049,0.551,0.025142510931024063,0.472,greti,M ,5,1,0.0,0
24,3B0018C6F9,not first visit,2024-12-12 09:02:50.721541,control,nah,0.0,2024-12-12,2024-12-12 09:02:51.718,42-2024-12-12,0.09600005569490067,0.5131342654965124,0.4262545960035697,0.02739638835923239,1.175,0.41934049682209923,-0.28632042197009033,1.173,0.839,0.03289325140093924,0.416,bluti,M,6,1,0.0,0
25,3B00192E1E,not first visit,2024-12-12 09:03:10.626868,control,nah,0.0,2024-12-12,2024-12-12 09:03:11.718,43-2024-12-12,0.09480469913024783,0.44739285083335634,0.3331181571537955,0.02053592930069607,1.322,0.3331181571537955,-0.297224691989078,1.322,0.001,0.044075638848581955,1.315,bluti,M,6,1,0.0,0
26,3B00192E1E,not first visit,2024-12-12 09:07:31.737477,control,nah,0.0,2024-12-12,2024-12-12 09:07:32.722,47-2024-12-12,0.10075251587527521,0.47970992075735996,0.33591739023346917,0.018619378912317616,0.767,0.33383917124074775,-0.34083970636981226,0.765,0.167,0.05026059060182315,0.768,bluti,M,6,1,0.0,1
