,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
16,3B0019F652,first visit,2024-12-15 10:29:20.329733,control,nah,1.0,2024-12-15,2024-12-15 10:29:21.775,50-2024-12-15,0.08828244836917248,0.37637608818869456,0.2879779031402698,0.024648003510119816,0.867,0.2865715681010389,-0.21814278254832078,0.865,0.605,0.04374349492206482,0.526,bluti,F,5,2,,1
17,3B00182A81,first visit,2024-12-15 11:20:34.576996,control,nah,0.0,2024-12-15,2024-12-15 11:20:35.764,71-2024-12-15,0.09727335020107848,0.5225630024689616,0.30822505794197863,0.03964863793253583,0.509,0.3078825155228855,-0.4076391880490336,0.508,0.089,0.03411722060376596,0.451,bluti,F,6,2,,1
18,01103F9A64,first visit,2024-12-15 11:24:38.616318,control,nah,0.0,2024-12-15,2024-12-15 11:24:39.766,78-2024-12-15,,1.1529448678497518,0.7788464718475373,0.07902964653200137,1.295,0.7652246906035223,-0.8034731528155121,1.292,0.199,0.06222608872768882,0.85,greti,M ,5,2,,0
19,3B00191394,first visit,2024-12-15 15:24:15.894307,control,nah,0.0,2024-12-15,2024-12-15 15:24:17.259,316-2024-12-15,0.09258708524497679,0.5675376417673125,0.4503756529966089,0.015952566604299515,0.986,0.4399996951972441,-0.3421045168299832,0.983,0.582,0.016201986751595197,0.346,bluti,F,5,2,,0
20,3B00186A36,first visit,2024-12-23 08:20:30.825632,control,nah,0.0,2024-12-23,2024-12-23 08:20:32.165,3-2024-12-23,,0.3001943410871983,0.2736460675242581,0.02435921833203863,1.57,0.2728977730698899,-0.08518200154005959,1.569,0.788,0.016342566540662573,1.538,bluti,F,6,3,,0
21,01103F97C4,first visit,2024-12-23 08:24:01.153746,control,nah,0.0,2024-12-23,2024-12-23 08:24:02.167,6-2024-12-23,0.1566003639281066,0.9745804550912234,0.7332670567451871,0.057503526828326046,1.783,0.7259422913266798,-0.554322287315038,1.781,1.101,0.09575454214453094,1.182,greti,M ,5,3,,1
22,3B0019B8CC,first visit,2024-12-23 08:25:33.532846,control,nah,0.0,2024-12-23,2024-12-23 08:25:35.167,7-2024-12-23,0.15095176378857167,0.9213532297322886,0.6115314916198373,0.04677670930435806,0.734,0.5754322462988989,-0.636454162597698,0.728,0.359,0.09011292629153878,0.489,greti,F,5,3,,0
23,3B00192E1E,first visit,2024-12-23 08:28:17.014026,control,nah,0.0,2024-12-23,2024-12-23 08:28:18.171,12-2024-12-23,0.09188919325350463,0.4172634398311083,0.30534329933377713,0.034320223593816465,1.016,0.3045967700393865,-0.282980304458031,1.015,0.001,0.04289515057026406,1.009,bluti,M,6,3,,1
24,01103F9A64,first visit,2024-12-23 08:28:22.949721,control,nah,0.0,2024-12-23,2024-12-23 08:28:24.169,13-2024-12-23,,1.0337746897023048,0.6981013659307094,0.03830255249294534,1.007,0.6775923716414628,-0.7611587476219241,1.003,0.001,0.08003246653049487,0.055,greti,M ,5,3,,0
25,3B004CD4DE,first visit,2024-12-23 08:35:59.750834,control,nah,0.0,2024-12-23,2024-12-23 08:36:01.175,19-2024-12-23,0.09654577349817284,0.531570436924795,0.3728124998604901,0.05247183168334777,0.378,0.3716872331933096,-0.37892371264876157,0.377,0.074,0.0355723066281171,0.328,bluti,M,5,3,,1
