,RFID,event2,datetime,bodyweight,impulse
0,3B0018A99B,33,2024-12-31 09:00:46.322,0.0957532417517765,-0.0032497884364837315
1,3B0018A99B,34,2024-12-31 09:02:16.323,0.0957532417517765,0.0010010379122575772
2,3B0018A99B,35,2024-12-31 09:03:18.323,0.0957532417517765,-0.005363058277582851
3,3B0018A99B,80,2024-12-31 09:48:40.357,0.0876992789970469,0.001448700989577695
4,3B0018A99B,93,2024-12-31 10:16:19.327,0.0957532417517765,0.0025828061618435737
5,3B0018A99B,96,2024-12-31 10:17:43.329,0.0957532417517765,0.005290311906643926
6,3B0018A99B,104,2024-12-31 10:28:29.336,0.0957532417517765,4.332745412064483e-05
7,3B0018A99B,107,2024-12-31 10:31:17.339,0.0957532417517765,0.004812181729215568
8,3B0018A99B,113,2024-12-31 11:04:27.786,0.0932163224752143,0.002697249809953427
9,3B0018A99B,115,2024-12-31 11:16:06.792,0.0920282516525547,0.0004568605917941445
10,3B0018A99B,118,2024-12-31 11:17:36.792,0.0957532417517765,0.0007255649346855847
11,3B0018A99B,166,2024-12-31 12:13:34.788,0.0957532417517764,0.004050769684335506
12,3B0018A99B,167,2024-12-31 12:16:49.141,0.0957532417517765,0.004174543091218805
13,3B0018A99B,190,2024-12-31 12:52:03.162,0.0957532417517765,0.003777222400622406
14,3B0018A99B,192,2024-12-31 13:17:32.141,0.0957532417517765,0.0006272389846407209
