,id,status,visit_datetime,day,datetime,t12,t23,t34,t45,v1,v2,v3,v4,avg.v,acc1,acc2,acc3,avg.acc,species,sex,age
0,3B00192E1E,Arrive,2024-12-13 09:20:15.615671,2024-12-13,2024-12-13 09:20:16.689,0.5160000324249268,0.1460001468658447,0.0729999542236328,0.062000036239624,0.2616278905363078,0.9246566041063478,1.8493162281503928,2.177418082115925,0.6775406336069613,2.003107353476461,8.444376230367626,4.860768550273817,1.6624026868560433,bluti,M,6
1,3B00192E1E,Depart,2024-12-13 09:20:18.829954,2024-12-13,2024-12-13 09:20:16.689,0.5160000324249268,0.1460001468658447,0.0729999542236328,0.062000036239624,0.2616278905363078,0.9246566041063478,1.8493162281503928,2.177418082115925,0.6775406336069613,2.003107353476461,8.444376230367626,4.860768550273817,1.6624026868560433,bluti,M,6
2,3B00185CB8,Arrive,2024-12-13 09:20:19.347402,2024-12-13,2024-12-13 09:20:19.356,0.1449999809265136,0.0680000782012939,0.0720000267028808,37.44000005722046,0.9310346052281092,1.985291834523672,1.874999304612736,0.0036057692252584,0.0143141152538727,9.899126165622055,-1.5756063895298893,-0.099775726764807,-0.0455707578647359,bluti,F,6
3,3B00185CB8,Depart,2024-12-13 09:20:21.756819,2024-12-13,2024-12-13 09:20:19.356,0.1449999809265136,0.0680000782012939,0.0720000267028808,37.44000005722046,0.9310346052281092,1.985291834523672,1.874999304612736,0.0036057692252584,0.0143141152538727,9.899126165622055,-1.5756063895298893,-0.099775726764807,-0.0455707578647359,bluti,F,6
4,01103F97C4,Arrive,2024-12-13 09:21:08.589066,2024-12-13,2024-12-13 09:21:08.931,1.938999891281128,0.0730001926422119,0.0679998397827148,0.0720000267028808,0.0696235211807069,1.8493101882848608,1.9852987952821064,1.874999304612736,0.2509293738122001,1.7690721599114627,1.9289159677271783,-1.5757085122751755,1.8142722904810904,greti,M ,5
5,01103F97C4,Arrive,2024-12-13 09:21:08.589066,2024-12-13,2024-12-13 09:21:11.156,1.2220001220703125,0.0739998817443847,0.1530001163482666,0.0690000057220459,0.1104746207154898,1.82432723968838,0.8823522701950512,1.95652157687962,0.3557311957962945,2.6448342807535017,-8.29933900800172,9.677195639958745,1.829903109410784,greti,M ,5
6,01103F97C4,Arrive,2024-12-13 09:22:08.713386,2024-12-13,2024-12-13 09:22:10.424,0.0739998817443847,0.1470000743865966,0.0690000057220459,0.0740001201629638,1.82432723968838,0.918366882216416,1.95652157687962,1.824321361947812,1.483516149252617,-8.198737894183317,9.612539904068909,-1.848952427330212,-4.466460464752291,greti,M ,5
7,01103F97C4,Depart,2024-12-13 09:22:12.734375,2024-12-13,2024-12-13 09:22:10.424,0.0739998817443847,0.1470000743865966,0.0690000057220459,0.0740001201629638,1.82432723968838,0.918366882216416,1.95652157687962,1.824321361947812,1.483516149252617,-8.198737894183317,9.612539904068909,-1.848952427330212,-4.466460464752291,greti,M ,5
8,3B001874E8,Arrive,2024-12-13 09:22:50.241323,2024-12-13,2024-12-13 09:22:51.755,0.1519999504089355,0.0690000057220459,0.0739998817443847,0.0729999542236328,0.8881581845046697,1.95652157687962,1.82432723968838,1.8493162281503928,1.4673921333486233,9.668448909028347,-1.8488733037957423,0.3399866169571803,-1.6268432295619382,bluti,F,6
9,3B001874E8,Depart,2024-12-13 09:22:54.059738,2024-12-13,2024-12-13 09:22:51.755,0.1519999504089355,0.0690000057220459,0.0739998817443847,0.0729999542236328,0.8881581845046697,1.95652157687962,1.82432723968838,1.8493162281503928,1.4673921333486233,9.668448909028347,-1.8488733037957423,0.3399866169571803,-1.6268432295619382,bluti,F,6
10,01103FD2E8,Arrive,2024-12-13 09:23:25.099862,2024-12-13,2024-12-13 09:23:25.914,0.1470000743865966,0.0739998817443847,0.0740001201629638,0.0729999542236328,0.918366882216416,1.82432723968838,1.824321361947812,1.8493162281503928,1.4673911826597146,8.198737894183317,-7.94289255684788e-05,0.3400660347537917,-1.7102451071486693,greti,F ,5
11,01103FD2E8,Depart,2024-12-13 09:23:27.510621,2024-12-13,2024-12-13 09:23:25.914,0.1470000743865966,0.0739998817443847,0.0740001201629638,0.0729999542236328,0.918366882216416,1.82432723968838,1.824321361947812,1.8493162281503928,1.4673911826597146,8.198737894183317,-7.94289255684788e-05,0.3400660347537917,-1.7102451071486693,greti,F ,5
12,3B004AB6A7,Arrive,2024-12-13 09:23:33.634264,2024-12-13,2024-12-13 09:23:35.147,0.1419999599456787,0.0739998817443847,0.0740001201629638,0.0739998817443847,0.950704493519882,1.82432723968838,1.824321361947812,1.82432723968838,1.4835171209503213,8.089105430197979,-7.94289255684788e-05,7.94289255684788e-05,-1.889363308724264,bluti,M,5
13,3B004AB6A7,Depart,2024-12-13 09:23:37.450448,2024-12-13,2024-12-13 09:23:35.147,0.1419999599456787,0.0739998817443847,0.0740001201629638,0.0739998817443847,0.950704493519882,1.82432723968838,1.824321361947812,1.82432723968838,1.4835171209503213,8.089105430197979,-7.94289255684788e-05,7.94289255684788e-05,-1.889363308724264,bluti,M,5
14,3B001874E8,Displace,2024-12-13 09:23:57.852778,2024-12-13,2024-12-13 09:23:58.140,0.1480000019073486,0.1419999599456787,0.0750000476837158,0.0729999542236328,0.9121621504066808,0.950704493519882,1.799998855591548,1.8493162281503928,1.2328768143355988,0.2658092978145589,7.827597531905541,0.6664509719360568,-0.9359118336807148,bluti,F,6
15,3B001874E8,Depart,2024-12-13 09:24:00.663632,2024-12-13,2024-12-13 09:23:58.140,0.1480000019073486,0.1419999599456787,0.0750000476837158,0.0729999542236328,0.9121621504066808,0.950704493519882,1.799998855591548,1.8493162281503928,1.2328768143355988,0.2658092978145589,7.827597531905541,0.6664509719360568,-0.9359118336807148,bluti,F,6
16,3B00192E1E,Depart,2024-12-13 09:24:15.257773,2024-12-13,2024-12-13 09:24:17.968,0.1449999809265136,0.062000036239624,0.0720000267028808,0.0629999637603759,0.9310346052281092,2.177418082115925,1.874999304612736,2.142858375498125,1.5789473331976254,12.042351435048165,-4.513710976881378,3.968282811964984,-1.7690511505214812,bluti,M,6
17,3B00192E1E,Arrive,2024-12-13 09:24:15.417504,2024-12-13,2024-12-13 09:24:17.968,0.1449999809265136,0.062000036239624,0.0720000267028808,0.0629999637603759,0.9310346052281092,2.177418082115925,1.874999304612736,2.142858375498125,1.5789473331976254,12.042351435048165,-4.513710976881378,3.968282811964984,-1.7690511505214812,bluti,M,6
18,3B00192E1E,Depart,2024-12-13 09:24:18.027714,2024-12-13,2024-12-13 09:24:17.968,0.1449999809265136,0.062000036239624,0.0720000267028808,0.0629999637603759,0.9310346052281092,2.177418082115925,1.874999304612736,2.142858375498125,1.5789473331976254,12.042351435048165,-4.513710976881378,3.968282811964984,-1.7690511505214812,bluti,M,6
19,3B00190DF0,Arrive,2024-12-13 09:24:43.199566,2024-12-13,2024-12-13 09:24:43.732,0.1499998569488525,0.0729999542236328,0.0720000267028808,0.0729999542236328,0.9000008583077034,1.8493162281503928,1.874999304612736,1.8493162281503928,1.4673921333486233,8.514046400769514,0.3542493771134822,-0.3542493771134822,-1.6594606003451788,greti,M,6
20,3B00190DF0,Depart,2024-12-13 09:24:46.010996,2024-12-13,2024-12-13 09:24:43.732,0.1499998569488525,0.0729999542236328,0.0720000267028808,0.0729999542236328,0.9000008583077034,1.8493162281503928,1.874999304612736,1.8493162281503928,1.4673921333486233,8.514046400769514,0.3542493771134822,-0.3542493771134822,-1.6594606003451788,greti,M,6
21,3B001874E8,Arrive,2024-12-13 09:24:54.902021,2024-12-13,2024-12-13 09:24:56.118,0.1499998569488525,0.063000202178955,0.0619997978210449,0.0670001506805419,0.9000008583077034,2.142850266044005,2.177426455319444,2.0149208416512763,1.5789473331976254,11.669944250959553,0.553219028407014,-2.519467884379321,-1.8394724928427693,bluti,F,6
22,3B001874E8,Arrive,2024-12-13 09:24:54.902021,2024-12-13,2024-12-13 09:24:56.640,2.8349997997283936,0.1360001564025879,0.0720000267028808,0.0679998397827148,0.0476190509829784,0.992645917261836,1.874999304612736,1.9852987952821064,0.1735776376694939,0.6361675397057424,8.484159717335372,1.5757085122751755,1.9566039770230632,bluti,F,6
23,3B001874E8,Depart,2024-12-13 09:24:58.319276,2024-12-13,2024-12-13 09:24:56.118,0.1499998569488525,0.063000202178955,0.0619997978210449,0.0670001506805419,0.9000008583077034,2.142850266044005,2.177426455319444,2.0149208416512763,1.5789473331976254,11.669944250959553,0.553219028407014,-2.519467884379321,-1.8394724928427693,bluti,F,6
24,3B001874E8,Depart,2024-12-13 09:24:58.319276,2024-12-13,2024-12-13 09:24:56.640,2.8349997997283936,0.1360001564025879,0.0720000267028808,0.0679998397827148,0.0476190509829784,0.992645917261836,1.874999304612736,1.9852987952821064,0.1735776376694939,0.6361675397057424,8.484159717335372,1.5757085122751755,1.9566039770230632,bluti,F,6
25,01103FD2E8,Arrive,2024-12-13 09:25:02.133978,2024-12-13,2024-12-13 09:25:02.637,0.1529998779296875,0.0690000057220459,0.0740001201629638,0.0739998817443847,0.8823536451580732,1.95652157687962,1.824321361947812,1.82432723968838,1.4594599108700863,9.677193645800894,-1.848952427330212,7.94289255684788e-05,-1.6156479083598754,greti,F ,5
26,01103FD2E8,Depart,2024-12-13 09:25:04.944202,2024-12-13,2024-12-13 09:25:02.637,0.1529998779296875,0.0690000057220459,0.0740001201629638,0.0739998817443847,0.8823536451580732,1.95652157687962,1.824321361947812,1.82432723968838,1.4594599108700863,9.677193645800894,-1.848952427330212,7.94289255684788e-05,-1.6156479083598754,greti,F ,5
27,01103F97C4,Arrive,2024-12-13 09:26:05.324322,2024-12-13,2024-12-13 09:26:08.268,0.1480000019073486,0.1420001983642578,0.0739998817443847,0.0740001201629638,0.9121621504066808,0.95070289728539,1.82432723968838,1.824321361947812,1.2328761432383326,0.2657980707779711,8.089111281473405,-7.94289255684788e-05,-0.9651641325112136,greti,M ,5
28,01103F97C4,Depart,2024-12-13 09:26:10.549288,2024-12-13,2024-12-13 09:26:08.268,0.1480000019073486,0.1420001983642578,0.0739998817443847,0.0740001201629638,0.9121621504066808,0.95070289728539,1.82432723968838,1.824321361947812,1.2328761432383326,0.2657980707779711,8.089111281473405,-7.94289255684788e-05,-0.9651641325112136,greti,M ,5
29,3B00190DF0,Arrive,2024-12-13 09:27:36.359439,2024-12-13,2024-12-13 09:27:36.871,0.1529998779296875,0.0690000057220459,0.0740001201629638,0.0679998397827148,0.8823536451580732,1.95652157687962,1.824321361947812,1.9852987952821064,1.4835171209503213,9.677193645800894,-1.848952427330212,2.267288432980896,-1.4953864049905348,greti,M,6
30,3B00190DF0,Arrive,2024-12-13 09:27:36.359439,2024-12-13,2024-12-13 09:27:38.346,1.0770001411437988,0.0679998397827148,0.0690000057220459,0.0629999637603759,0.1253481729878205,1.9852987952821064,1.95652157687962,2.142858375498125,0.4228661088256699,3.2488221017947034,-0.4201058518928999,2.8232854802791363,1.965562489954064,greti,M,6
31,3B00190DF0,Depart,2024-12-13 09:27:39.171136,2024-12-13,2024-12-13 09:27:36.871,0.1529998779296875,0.0690000057220459,0.0740001201629638,0.0679998397827148,0.8823536451580732,1.95652157687962,1.824321361947812,1.9852987952821064,1.4835171209503213,9.677193645800894,-1.848952427330212,2.267288432980896,-1.4953864049905348,greti,M,6
32,3B00190DF0,Depart,2024-12-13 09:27:39.171136,2024-12-13,2024-12-13 09:27:38.346,1.0770001411437988,0.0679998397827148,0.0690000057220459,0.0629999637603759,0.1253481729878205,1.9852987952821064,1.95652157687962,2.142858375498125,0.4228661088256699,3.2488221017947034,-0.4201058518928999,2.8232854802791363,1.965562489954064,greti,M,6
33,3B0018C6F9,Arrive,2024-12-13 09:27:41.513391,2024-12-13,2024-12-13 09:27:42.302,0.1459999084472656,0.0670001506805419,0.0619997978210449,0.0680000782012939,0.9246581140751968,2.0149208416512763,2.177426455319444,1.985291834523672,1.5743443209795878,10.237205867833897,2.519467884379321,-2.955920061996917,-1.9327519875271768,bluti,M,6
