,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,t12,t23,t34,t45,v1,v2,v3,v4,avg.v,acc1,acc2,acc3,avg.acc,species,sex,age,exp_order,prev_scares
0,3B0019B8CC,first visit,2024-12-12 08:10:47.773249,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:10:48.366,0.1330001354217529,0.0739998817443847,0.0740001201629638,0.0739998817443847,1.0150365604659377,1.82432723968838,1.824321361947812,1.82432723968838,1.5211266788360878,7.819232967240845,-7.94289255684788e-05,7.94289255684788e-05,-2.2116032498835563,greti,F,5,1,0.0
1,01103FA4B2,first visit,2024-12-12 08:11:27.384591,treatment,SCARE,0.0,2024-12-12,2024-12-12 08:11:28.788,0.1429998874664306,0.0740001201629638,0.0739998817443847,0.0729999542236328,0.9440566869795012,1.824321361947812,1.82432723968838,1.8493162281503928,1.4835171209503213,8.113038193728356,7.94289255684788e-05,0.3399866169571803,-1.8384063181280816,bluti,M,6,1,0.0
2,3B0019B8CC,not first visit,2024-12-12 08:12:36.364722,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:12:40.302,2.816999912261963,0.0740001201629638,0.0739998817443847,0.0740001201629638,0.0479233241763217,1.824321361947812,1.82432723968838,1.824321361947812,0.1776900276076002,1.2289159583865346,7.94289255684788e-05,-7.94289255684788e-05,1.7942471080216231,greti,F,5,1,1.0
3,3B00182A81,first visit,2024-12-12 08:13:18.069107,treatment,SCARE,0.0,2024-12-12,2024-12-12 08:13:18.692,0.1480000019073486,0.0740001201629638,0.0739998817443847,0.0740001201629638,0.9121621504066808,1.824321361947812,1.82432723968838,1.824321361947812,1.4594589704315957,8.217646035818213,7.94289255684788e-05,-7.94289255684788e-05,-1.6975393667469552,bluti,F,6,1,0.0
4,01103F9A64,first visit,2024-12-12 08:13:56.411985,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:13:59.051,4.460999965667725,0.0739998817443847,0.0740001201629638,0.0739998817443847,0.0302622732658535,1.82432723968838,1.824321361947812,1.82432723968838,0.1153107019805849,0.7912083910857491,-7.94289255684788e-05,7.94289255684788e-05,1.8117988711527573,greti,M ,5,1,0.0
5,3B00190DF0,not first visit,2024-12-12 08:14:15.959957,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:14:17.056,0.0989999771118164,0.1530001163482666,0.0729999542236328,0.0739998817443847,1.3636366789006735,0.8823522701950512,1.8493162281503928,1.82432723968838,1.3533836980222012,-3.819716112778808,8.557200495631822,-0.3399866169571803,-2.539310132793775,greti,M,6,1,0.0
6,3B00190DF0,not first visit,2024-12-12 08:16:06.831231,treatment,nah,0.0,2024-12-12,2024-12-12 08:16:08.987,1.319000005722046,0.0740001201629638,0.0679998397827148,0.0740001201629638,0.1023502649085269,1.824321361947812,1.9852987952821064,1.824321361947812,0.3517915112739364,2.4723200881913368,2.267288432980896,-2.267288432980896,1.702257841238552,greti,M,6,1,1.0
7,01103F9A64,not first visit,2024-12-12 08:18:11.569657,treatment,nah,0.0,2024-12-12,2024-12-12 08:18:13.309,0.1410000324249267,0.0739998817443847,0.0690000057220459,0.0690000057220459,0.9574465883323724,1.82432723968838,1.95652157687962,1.95652157687962,1.5297453648514208,8.064009278378993,1.8488733037957423,0.0,-1.904151605181705,greti,M ,5,1,1.0
8,3B00190DF0,not first visit,2024-12-12 08:18:46.196700,treatment,nah,0.0,2024-12-12,2024-12-12 08:18:48.325,1.003000020980835,0.0739998817443847,0.0740001201629638,0.0739998817443847,0.1345962085504079,1.82432723968838,1.824321361947812,1.82432723968838,0.4408163608485911,3.137848066396866,-7.94289255684788e-05,7.94289255684788e-05,1.628265742656523,greti,M,6,1,1.0
9,01103F9A64,not first visit,2024-12-12 08:19:57.217595,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:19:58.341,0.1480000019073486,0.0739998817443847,0.0740001201629638,0.0690000057220459,0.9121621504066808,1.82432723968838,1.824321361947812,1.95652157687962,1.4794520161393043,8.217707813871431,-7.94289255684788e-05,1.848952427330212,-1.5996660646720842,greti,M ,5,1,1.0
10,3B00182A81,not first visit,2024-12-12 08:20:09.072778,treatment,SCARE,1.0,2024-12-12,2024-12-12 08:20:10.557,0.1480000019073486,0.0740001201629638,0.0739998817443847,0.064000129699707,0.9121621504066808,1.824321361947812,1.82432723968838,2.109370725238046,1.4999994436901884,8.217646035818213,7.94289255684788e-05,4.131064665384407,-1.481817885959405,bluti,F,6,1,0.0
11,3B00190DF0,not first visit,2024-12-12 08:20:40.142182,treatment,nah,0.0,2024-12-12,2024-12-12 08:20:43.499,0.1469998359680175,0.1470000743865966,0.0740001201629638,12.810999870300291,0.9183683717128204,0.918366882216416,1.824321361947812,0.0105378191684296,0.0409742775676391,-1.0132631691983671e-05,8.198675857076957,-0.2815341162781283,-0.1265320860818417,greti,M,6,1,1.0
12,01103FA4B2,not first visit,2024-12-12 09:02:41.875948,treatment,nah,0.0,2024-12-12,2024-12-12 09:02:42.899,0.1430001258850097,0.062000036239624,0.0669999122619628,0.0659999847412109,0.9440551129903,2.177418082115925,2.014928011728786,2.04545501835101,1.597632856613822,12.032799938721794,-2.519226903181909,0.459053086657584,-1.9976074979969152,bluti,M,6,1,0.0
13,01103FA4B2,not first visit,2024-12-12 09:05:15.326476,treatment,nah,0.0,2024-12-12,2024-12-12 09:05:16.843,0.1449999809265136,0.0680000782012939,0.0729999542236328,0.0670001506805419,0.9310346052281092,1.985291834523672,1.8493162281503928,2.0149208416512763,1.5297443316515715,9.899126165622055,-1.928731561755867,2.365778420155234,-1.754448530691966,bluti,M,6,1,0.0
14,01103FA4B2,not first visit,2024-12-12 09:05:15.326476,treatment,nah,0.0,2024-12-12,2024-12-12 09:05:18.263,0.1400001049041748,0.0629999637603759,0.0720000267028808,0.0729999542236328,0.9642849917319906,2.142858375498125,1.874999304612736,1.8493162281503928,1.55172391680563,11.611556503595851,-3.968282811964984,-0.3542493771134822,-2.143581957214315,bluti,M,6,1,0.0
15,3B00190DF0,not first visit,2024-12-12 09:05:23.100801,treatment,nah,0.0,2024-12-12,2024-12-12 09:05:23.872,0.1459999084472656,0.0740001201629638,0.0739998817443847,0.0780000686645507,0.9246581140751968,1.824321361947812,1.82432723968838,1.7307677071488832,1.4516129850969153,8.17875573522342,7.94289255684788e-05,-1.2310468824205203,-1.8256097851259456,greti,M,6,1,1.0
16,3B00190DF0,not first visit,2024-12-12 09:07:27.749488,treatment,nah,0.0,2024-12-12,2024-12-12 09:07:29.177,0.1419999599456787,0.0739998817443847,0.0789999961853027,0.0680000782012939,0.950704493519882,1.82432723968838,1.7088608420099594,1.985291834523672,1.4876036497098255,8.089105430197979,-1.5093658797752028,3.760963981374928,-1.6996107742094886,greti,M,6,1,1.0
17,3B00190DF0,not first visit,2024-12-12 09:09:06.025216,treatment,nah,0.0,2024-12-12,2024-12-12 09:09:07.303,0.1440000534057617,0.0720000267028808,0.0669999122619628,0.0690000057220459,0.9374996523063678,1.874999304612736,2.014928011728786,1.95652157687962,1.5340909174035404,8.680549116785782,2.013363576388933,-0.8589186775249998,-1.862214767262064,greti,M,6,1,1.0
18,3B00190DF0,not first visit,2024-12-12 09:11:42.673631,treatment,nah,0.0,2024-12-12,2024-12-12 09:11:44.027,0.124000072479248,0.0690000057220459,0.0739998817443847,0.0740001201629638,1.0887090410579627,1.95652157687962,1.82432723968838,1.824321361947812,1.5835773405916975,8.992872375072837,-1.8488733037957423,-7.94289255684788e-05,-2.674476629765248,greti,M,6,1,1.0
19,3B00190DF0,not first visit,2024-12-12 09:11:42.673631,treatment,nah,0.0,2024-12-12,2024-12-12 09:11:45.683,1.4619998931884766,0.0740001201629638,0.0729999542236328,0.0789999961853027,0.0923392680320779,1.824321361947812,1.8493162281503928,1.7088608420099594,0.3199052201381783,2.255184998516602,0.3400660347537917,-1.8480977890131889,1.608218590116249,greti,M,6,1,1.0
20,3B00190DF0,not first visit,2024-12-12 09:14:03.784920,treatment,nah,0.0,2024-12-12,2024-12-12 09:14:04.321,0.2369999885559082,0.1449999809265136,0.0779998302459716,0.0720000267028808,0.5696202806699865,0.9310346052281092,1.7307729975088262,1.874999304612736,1.0150379251481938,1.8922217457127493,7.1725477082322495,1.9230192619862048,0.3660706845199784,greti,M,6,1,1.0
21,3B00190DF0,not first visit,2024-12-12 09:15:39.023402,treatment,nah,0.0,2024-12-12,2024-12-12 09:15:40.604,0.117999792098999,0.1490001678466797,0.0720000267028808,0.062000036239624,1.1440698123157558,0.9060392478142322,1.874999304612736,2.177418082115925,1.3466333395960322,-1.7830007506364498,8.768861572935933,4.513710976881378,-1.5012617004366118,greti,M,6,1,1.0
22,3B0019B8CC,not first visit,2024-12-12 09:15:43.553534,treatment,SCARE,0.0,2024-12-12,2024-12-12 09:15:44.159,0.7269999980926514,0.0740001201629638,0.0729999542236328,0.0740001201629638,0.1856946359754943,1.824321361947812,1.8493162281503928,1.824321361947812,0.5696201374125704,4.091451895265262,0.3400660347537917,-0.3400660347537917,1.4851531597712757,greti,F,5,1,2.0
23,3B00190DF0,not first visit,2024-12-12 09:17:36.002814,treatment,nah,0.0,2024-12-12,2024-12-12 09:17:36.636,0.1180000305175781,0.059999942779541,0.0490000247955322,0.0559999942779541,1.1440675007273786,2.2500021457692583,2.755100646649248,2.410714532039629,1.908127259921752,12.42623383089888,9.267865158438784,-6.559734324783187,-3.426365149733387,greti,M,6,1,1.0
24,3B00190DF0,not first visit,2024-12-12 09:19:17.303419,treatment,nah,0.0,2024-12-12,2024-12-12 09:19:18.417,0.1380000114440918,0.0750000476837158,0.0739998817443847,0.0680000782012939,0.9782607884398098,1.799998855591548,1.82432723968838,1.985291834523672,1.5211266788360878,7.715848253907443,0.3265556459014513,2.267107609000283,-1.8966958178489928,greti,M,6,1,1.0
25,3B0019B8CC,not first visit,2024-12-12 09:21:55.722633,treatment,SCARE,1.0,2024-12-12,2024-12-12 09:21:57.675,0.1480000019073486,0.0789999961853027,0.0740001201629638,0.0739998817443847,0.9121621504066808,1.7088608420099594,1.824321361947812,1.82432723968838,1.4400000000000002,7.019371791167163,1.5092866945935626,7.94289255684788e-05,-1.6308316595760388,greti,F,5,1,2.0
26,01103FA4B2,not first visit,2024-12-12 09:24:25.928379,treatment,nah,0.0,2024-12-12,2024-12-12 09:24:26.884,0.1480000019073486,0.0739998817443847,0.0690000057220459,0.0740001201629638,0.9121621504066808,1.82432723968838,1.95652157687962,1.824321361947812,1.4794520161393043,8.217707813871431,1.8488733037957423,-1.848952427330212,-1.7668689346950317,bluti,M,6,1,0.0
27,01103FA4B2,not first visit,2024-12-12 09:29:15.722220,treatment,nah,0.0,2024-12-12,2024-12-12 09:29:17.480,0.1529998779296875,0.0690000057220459,0.0740001201629638,0.0729999542236328,0.8823536451580732,1.95652157687962,1.824321361947812,1.8493162281503928,1.4634148005618668,9.677193645800894,-1.848952427330212,0.3400660347537917,-1.597377133291263,bluti,M,6,1,0.0
28,3B0019B8CC,not first visit,2024-12-12 09:29:54.849050,treatment,nah,0.0,2024-12-12,2024-12-12 09:29:57.296,0.1480000019073486,0.0739998817443847,0.0690000057220459,0.0740001201629638,0.9121621504066808,1.82432723968838,1.95652157687962,1.824321361947812,1.4794520161393043,8.217707813871431,1.8488733037957423,-1.848952427330212,-1.7668689346950317,greti,F,5,1,3.0
29,01103FA4B2,not first visit,2024-12-12 09:29:58.706680,treatment,SCARE,1.0,2024-12-12,2024-12-12 09:29:59.843,0.1480000019073486,0.0740001201629638,0.0759999752044677,0.0739998817443847,0.9121621504066808,1.824321361947812,1.776316369009339,1.82432723968838,1.4516129850969153,8.217646035818213,-0.6400661655698638,0.6401455528775826,-1.6705464017706348,bluti,M,6,1,0.0
30,3B001874E8,not first visit,2024-12-12 09:37:00.572325,treatment,SCARE,1.0,2024-12-12,2024-12-12 09:37:03.039,0.1529998779296875,0.1480000019073486,0.0740001201629638,0.0739998817443847,0.8823536451580732,0.9121621504066808,1.824321361947812,1.82432723968838,1.2026729225452704,0.1980632368673784,8.217646035818213,7.94289255684788e-05,-0.8056389008237241,bluti,F,6,1,0.0
31,3B0019B8CC,not first visit,2024-12-12 09:43:19.293153,treatment,nah,0.0,2024-12-12,2024-12-12 09:43:21.056,0.1489999294281005,0.0740001201629638,0.0789999961853027,0.0739998817443847,0.9060406975906912,1.824321361947812,1.7088608420099594,1.82432723968838,1.4361704896078649,8.235699194157634,-1.5092866945935626,1.5093658797752028,-1.601157155224179,greti,F,5,1,3.0
32,3B0019B8CC,not first visit,2024-12-12 09:44:37.903277,treatment,nah,0.0,2024-12-12,2024-12-12 09:44:40.460,0.1480000019073486,0.0690000057220459,0.0739998817443847,0.0729999542236328,0.9121621504066808,1.95652157687962,1.82432723968838,1.8493162281503928,1.4835171209503213,9.625432163638978,-1.8488733037957423,0.3399866169571803,-1.7489584632096264,greti,F,5,1,3.0
33,3B0019B8CC,not first visit,2024-12-12 09:45:57.166565,treatment,nah,0.0,2024-12-12,2024-12-12 09:45:58.919,0.1430001258850097,0.0690000057220459,0.0739998817443847,5.424000024795532,0.9440551129903,1.95652157687962,1.82432723968838,0.0248893804171929,0.0945709275643442,9.551564484553587,-1.8488733037957423,-0.6545790796142942,-0.2976990784888138,greti,F,5,1,3.0
34,01103FA4B2,not first visit,2024-12-12 09:57:16.421346,treatment,SCARE,0.0,2024-12-12,2024-12-12 09:57:17.580,0.1500000953674316,0.0739998817443847,0.0690000057220459,0.0740001201629638,0.899999427795774,1.82432723968838,1.95652157687962,1.824321361947812,1.47138923283809,8.252927735177398,1.8488733037957423,-1.848952427330212,-1.705088224818111,bluti,M,6,1,1.0
35,01103FA4B2,not first visit,2024-12-12 09:58:44.379754,treatment,SCARE,1.0,2024-12-12,2024-12-12 09:58:46.061,0.1480000019073486,0.0739998817443847,0.0740001201629638,0.0739998817443847,0.9121621504066808,1.82432723968838,1.824321361947812,1.82432723968838,1.4594599108700863,8.217707813871431,-7.94289255684788e-05,7.94289255684788e-05,-1.6975351100048686,bluti,M,6,1,1.0
36,3B00185E23,not first visit,2024-12-12 10:05:43.739371,treatment,nah,0.0,2024-12-12,2024-12-12 10:05:43.762,0.1480000019073486,0.0679998397827148,0.0789999961853027,0.0789999961853027,0.9121621504066808,1.9852987952821064,1.7088608420099594,1.7088608420099594,1.4438509079990745,9.936457698105732,-3.7610647855728327,0.0,-1.792723526964619,bluti,M,6,1,0.0
37,3B00190DF0,not first visit,2024-12-12 10:30:14.228335,treatment,SCARE,1.0,2024-12-12,2024-12-12 10:30:15.815,0.1480000019073486,0.0690000057220459,0.0729999542236328,0.0739998817443847,0.9121621504066808,1.95652157687962,1.8493162281503928,1.82432723968838,1.4835171209503213,9.625432163638978,-1.5099349150554262,-0.3399866169571803,-1.7810581538219612,greti,M,6,1,1.0
38,3B00190DF0,not first visit,2024-12-12 10:34:22.920058,treatment,SCARE,1.0,2024-12-12,2024-12-12 10:34:24.509,0.1480000019073486,0.0690000057220459,0.0679998397827148,0.064000129699707,0.9121621504066808,1.95652157687962,1.9852987952821064,2.109370725238046,1.54727803843663,9.625432163638978,0.4201058518928999,1.879878161221272,-1.644384350209044,greti,M,6,1,2.0
39,01103F88A1,first visit,2024-12-12 11:15:18.017129,treatment,SCARE,0.0,2024-12-12,2024-12-12 11:15:18.267,0.1470000743865966,0.0680000782012939,0.0690000057220459,0.0739998817443847,0.918366882216416,1.985291834523672,1.95652157687962,1.82432723968838,1.508379719505235,9.92487623348178,-0.4200035039416624,-1.8488733037957423,-1.8862450924424328,bluti,M,6,1,0.0
40,3B00190DF0,not first visit,2024-12-12 11:18:46.662211,treatment,SCARE,0.0,2024-12-12,2024-12-12 11:18:46.741,2.2710001468658447,0.0729999542236328,0.0780000686645507,0.0719997882843017,0.0594451744912083,1.8493162281503928,1.7307677071488832,1.875005513445854,0.2165196507961211,1.5271936659279697,-1.5701788481091308,1.923172584706579,1.83005642087884,greti,M,6,1,3.0
41,01103F9A64,not first visit,2024-12-12 11:48:21.921419,treatment,SCARE,1.0,2024-12-12,2024-12-12 11:48:25.653,0.1419999599456787,0.1369998455047607,0.0690000057220459,0.0740001201629638,0.950704493519882,0.9854025710949342,1.95652157687962,1.824321361947812,1.279621061290534,0.2487319123325763,9.4283466711389,-1.848952427330212,-1.2034010033083735,greti,M ,5,1,2.0
42,01103FD2E8,first visit,2024-12-12 11:48:38.852234,treatment,SCARE,0.0,2024-12-12,2024-12-12 11:48:39.372,0.1319999694824218,0.1470000743865966,0.0690000057220459,0.0789999961853027,1.022727509175505,0.918366882216416,1.95652157687962,1.7088608420099594,1.2646368667670222,-0.7481047351238627,9.612539904068909,-3.346766644296417,-1.4722505388559397,greti,F ,5,1,0.0
43,01103FD2E8,first visit,2024-12-12 11:48:38.852234,treatment,SCARE,0.0,2024-12-12,2024-12-12 11:48:41.330,0.0930001735687255,0.1480000019073486,0.0739998817443847,0.0680000782012939,1.4516101940415975,0.9121621504066808,1.82432723968838,1.985291834523672,1.4099211724960925,-4.476743990491174,8.217707813871431,2.267107609000283,-2.813419399451605,greti,F ,5,1,0.0
44,3B0019B8CC,not first visit,2024-12-12 11:48:53.959075,treatment,nah,0.0,2024-12-12,2024-12-12 11:48:54.493,0.1429998874664306,0.0740001201629638,0.0739998817443847,0.0680000782012939,0.9440566869795012,1.824321361947812,1.82432723968838,1.985291834523672,1.5041784088380914,8.113038193728356,7.94289255684788e-05,2.267107609000283,-1.7387978846266263,greti,F,5,1,3.0
